95 20
0 19 4201
1 6 8
2 19 4888
3 8 231
4 18 2103
5 4 1997
6 13 836
7 15 4957
8 16 4257
9 0 4932
10 3 4009
11 6 4323
12 7 1315
13 2 3635
14 19 4512
15 4 3798
16 1 4320
17 0 3823
18 14 1346
19 3 4604
15 18 3879
10 1 673
14 2 3597
7 9 3500
12 4 2641
17 0 4625
5 1 3503
0 14 1962
19 8 1140
5 17 142
15 12 2801
16 18 3413
18 2 2758
18 3 3387
7 17 4265
7 13 3377
15 5 3327
10 5 1695
5 4 1784
18 13 1635
6 5 613
12 7 1657
14 12 4332
14 11 1842
10 18 4365
8 9 1568
14 5 1706
19 1 316
17 3 4496
1 4 4958
4 13 4870
17 12 2589
3 12 351
19 13 2504
19 13 4064
10 19 1740
18 17 2147
8 1 2122
17 12 1469
8 10 659
9 3 162
4 9 221
17 0 4849
9 16 941
8 16 2680
5 13 4069
7 18 4711
10 1 3883
3 5 2182
0 3 4378
17 14 4783
14 0 1285
6 12 1447
4 8 3229
9 4 1004
1 9 2310
1 8 4528
11 10 974
10 5 1103
15 0 4344
18 2 2593
9 5 1455
15 17 4460
19 12 1560
18 19 916
8 13 3945
2 9 2234
11 12 812
2 18 3741
17 16 1161
13 12 2312
15 16 4203
19 13 4087
3 11 1792
12 0 4542
